N,P,K,temperature,humidity,pH,rainfall,label
75,35,47,33.03126156,74.82272,5.607976,33.03126,rice
63,40,56,28.69771638,71.143,5.981027,28.69772,rice
69,36,51,33.59595065,74.58434,6.127302,33.59595,rice
88,39,55,30.80873381,72.28538,5.976246,30.80873,rice
68,43,40,33.39272812,65.08506,5.556363,33.39273,rice
88,35,54,26.41575529,75.63188,6.08526,26.41576,rice
62,42,50,34.21686271,77.90735,6.075893,34.21686,rice
77,33,32,29.28056626,71.72569,6.092217,29.28057,rice
73,42,51,27.36490271,65.37964,6.064973,27.3649,rice
69,45,38,32.82770935,76.52027,6.496784,32.82771,rice
72,35,55,26.82652811,76.71777,6.016218,26.82653,rice
60,39,48,34.80121773,71.39328,5.698075,34.80122,rice
63,32,45,28.45569771,64.80596,6.25793,28.4557,rice
63,36,31,26.00211663,71.72806,5.842671,26.00212,rice
80,42,51,29.14487481,70.37692,6.340334,29.14487,rice
82,39,39,33.51260853,72.11536,5.712657,33.51261,rice
78,35,41,29.64487911,76.2159,5.683303,29.64488,rice
89,33,47,26.12171295,69.10101,6.214563,26.12171,rice
64,45,41,32.37348383,74.8906,6.183657,32.37348,rice
76,33,52,25.40646586,64.85269,5.60067,25.40647,rice
81,31,33,29.22061427,75.24772,5.604713,29.22061,rice
93,42,45,30.26763431,75.6396,5.881837,30.26763,rice
64,43,45,31.46890987,71.22963,6.407114,31.46891,rice
79,45,39,34.84694973,66.18016,5.69997,34.84695,rice
69,39,48,34.21431088,65.6786,5.977195,34.21431,rice
65,37,44,27.9284401,70.36317,5.519254,27.92844,rice
92,39,37,25.58633895,69.05398,5.854648,25.58634,rice
87,45,39,28.17131479,77.78723,6.33241,28.17131,rice
72,43,49,30.31716699,69.32114,5.845253,30.31717,rice
85,40,37,32.43943452,73.4965,5.536831,32.43943,rice
78,31,32,33.58281944,76.44001,5.889902,33.58282,rice
69,31,45,32.72457142,66.80659,6.09184,32.72457,rice
88,42,32,32.28503282,65.5393,5.961223,32.28503,rice
60,35,35,33.68493821,75.50533,6.238697,33.68494,rice
71,39,45,25.94307027,63.97813,6.009816,25.94307,rice
94,39,32,28.61173595,76.0079,5.882841,28.61174,rice
67,46,55,27.92374571,70.13034,6.090991,27.92375,rice
65,40,56,30.61367582,71.80199,5.917381,30.61368,rice
95,43,49,29.77861096,75.9927,5.735721,29.77861,rice
81,41,56,25.00120211,76.31558,6.035413,25.0012,rice
90,37,35,31.7434102,74.798,6.346249,31.74341,rice
72,40,55,26.49949182,65.40494,6.095523,26.49949,rice
65,46,43,28.02989593,66.53571,6.035131,28.0299,rice
73,31,60,25.01093629,65.20967,6.290501,25.01094,rice
95,45,40,32.34188668,70.80107,6.201404,32.34189,rice
78,35,46,27.47116323,64.43526,5.846466,27.47116,rice
95,33,54,32.28793758,67.42665,6.092665,32.28794,rice
86,46,41,29.1412429,74.85105,6.048096,29.14124,rice
66,39,48,29.23948002,76.03512,6.218447,29.23948,rice
68,42,47,29.40910073,67.77323,6.433545,29.4091,rice
92,41,57,25.15030812,75.09847,5.968368,25.15031,rice
89,41,33,31.42151574,74.19998,6.382061,31.42152,rice
65,37,58,26.0030889,67.52396,5.680829,26.00309,rice
76,46,53,26.33922749,73.99527,5.505641,26.33923,rice
82,33,52,30.78801929,72.22023,5.682089,30.78802,rice
93,42,38,34.63165929,67.89635,6.490009,34.63166,rice
61,31,60,33.78685442,63.90269,6.349771,33.78685,rice
80,33,55,28.7221257,67.6946,5.720233,28.72213,rice
86,43,34,33.30656828,73.03566,5.879676,33.30657,rice
77,31,37,31.16988699,72.3002,5.74584,31.16989,rice
93,31,50,25.85644816,64.14053,6.154706,25.85645,rice
93,43,44,27.70722306,72.24889,5.80643,27.70722,rice
84,43,40,32.81480151,70.33045,6.250215,32.8148,rice
93,40,51,27.49820903,63.22604,6.36064,27.49821,rice
61,40,41,26.90798306,76.74749,6.001585,26.90798,rice
95,32,42,30.37906932,75.23095,5.813726,30.37907,rice
70,36,48,30.09042579,69.67055,5.730807,30.09043,rice
68,43,31,34.57821001,67.29004,6.072089,34.57821,rice
66,40,59,29.65264665,65.94313,6.325337,29.65265,rice
76,44,56,29.41816502,75.48687,6.427325,29.41817,rice
66,31,56,33.78626073,65.57182,6.475989,33.78626,rice
69,36,56,34.71076136,66.69024,6.054202,34.71076,rice
86,34,37,32.67340728,63.62819,6.134434,32.67341,rice
87,38,37,31.59248478,66.75689,6.087313,31.59248,rice
72,31,51,29.32556198,70.7606,5.531026,29.32556,rice
74,45,56,31.60589748,72.10412,6.486724,31.6059,rice
81,38,38,29.58630873,68.17811,5.661453,29.58631,rice
78,39,35,26.7002805,75.64334,6.102527,26.70028,rice
89,37,47,25.16309845,77.9723,6.115378,25.1631,rice
77,37,51,33.60542825,68.86806,5.734313,33.60543,rice
87,44,30,27.9768387,73.53026,6.297859,27.97684,rice
91,46,45,32.52954676,77.66379,5.85587,32.52955,rice
63,34,33,34.29805642,73.27359,5.70197,34.29806,rice
71,35,59,30.00100341,64.04664,6.159791,30.001,rice
67,36,56,26.63656968,63.64968,5.513178,26.63657,rice
78,41,58,29.99526207,65.42018,6.493257,29.99526,rice
86,41,54,28.12524818,66.47612,5.654059,28.12525,rice
86,38,39,26.30825178,66.21252,6.2072,26.30825,rice
78,44,55,29.75977384,74.94869,6.226642,29.75977,rice
93,40,56,29.22118986,69.7551,6.22593,29.22119,rice
80,41,43,30.59105588,71.68336,6.091703,30.59106,rice
70,45,44,33.31858506,71.21988,6.436068,33.31859,rice
95,39,59,30.34901775,68.68745,5.521521,30.34902,rice
97,43,31,33.74461758,67.2987,5.947818,33.74462,rice
78,31,36,32.98304191,76.44152,6.292282,32.98304,rice
71,37,31,25.41382289,67.55737,5.711582,25.41382,rice
68,34,40,31.31351806,63.07918,6.149935,31.31352,rice
71,45,44,30.72864708,73.6128,6.348721,30.72865,rice
84,41,40,33.6841273,69.01839,5.889294,33.68413,rice
62,34,38,34.55102161,70.71909,5.81256,34.55102,rice
68,31,57,34.84057526,68.63003,6.150644,34.84058,rice
86,44,36,27.49050635,68.24005,5.785886,27.49051,rice
74,40,48,28.88310394,77.93298,6.265455,28.8831,rice
86,44,45,29.70958845,72.51108,5.686515,29.70959,rice
86,46,60,26.54089057,64.76236,6.329575,26.54089,rice
86,35,30,27.88702206,75.84952,6.00572,27.88702,rice
72,42,52,31.35251052,69.21537,6.178057,31.35251,rice
77,38,46,34.24454327,70.06002,6.326133,34.24454,rice
71,38,30,31.86868457,66.01528,5.611511,31.86868,rice
93,37,53,30.65063833,74.32514,6.265856,30.65064,rice
96,41,59,33.15246776,69.41839,5.698604,33.15247,rice
75,44,59,34.46554301,74.35358,6.154296,34.46554,rice
79,32,38,32.97582295,77.45693,5.945444,32.97582,rice
67,44,46,34.63320481,75.78712,5.50073,34.6332,rice
83,32,54,27.21345083,64.68486,5.607658,27.21345,rice
75,36,57,27.41842911,71.54038,5.998816,27.41843,rice
63,43,53,34.4657263,65.29716,6.178246,34.46573,rice
86,44,44,26.72247605,73.61,6.06749,26.72248,rice
73,45,54,28.62426344,67.32163,6.054677,28.62426,rice
78,38,47,29.47991009,65.90512,5.736024,29.47991,rice
64,35,46,34.55304597,76.94706,6.120919,34.55305,rice
61,41,38,28.68303545,68.81842,6.404219,28.68304,rice
83,43,34,31.65769929,64.83475,6.055289,31.6577,rice
89,40,32,30.07139585,67.60274,5.639829,30.0714,rice
71,38,30,32.51721564,65.80244,6.45338,32.51722,rice
96,31,38,29.24596371,72.7494,5.575159,29.24596,rice
61,35,31,25.63255202,66.52351,5.681178,25.63255,rice
62,42,34,33.4071522,76.58046,6.175986,33.40715,rice
63,32,36,26.98971112,63.52189,6.020371,26.98971,rice
82,46,51,29.17490258,76.02133,5.742314,29.1749,rice
69,44,50,25.55099572,77.28113,5.524318,25.551,rice
78,44,43,30.50681242,68.80144,6.423734,30.50681,rice
81,43,37,28.26981859,77.5283,6.163201,28.26982,rice
97,41,32,32.88883183,72.63269,5.613134,32.88883,rice
97,36,30,27.46372583,66.86537,5.577647,27.46373,rice
95,39,48,33.85350683,66.96341,6.338657,33.85351,rice
90,44,52,30.91219087,75.61815,6.406006,30.91219,rice
73,34,58,25.86910096,67.88047,5.981656,25.8691,rice
89,39,58,34.48279522,77.05702,6.43397,34.4828,rice
71,37,50,31.22503413,68.39131,6.133417,31.22503,rice
71,35,59,26.19937009,70.51834,6.380045,26.19937,rice
80,35,55,28.60346921,71.00201,5.677516,28.60347,rice
84,36,35,25.58447549,73.98961,6.098258,25.58448,rice
89,33,39,34.68684558,71.36291,5.666412,34.68685,rice
78,40,60,34.26838516,77.53319,5.711338,34.26839,rice
73,45,45,27.26752171,74.19847,6.385419,27.26752,rice
90,33,44,31.16659087,69.97573,5.63039,31.16659,rice
77,43,40,30.33762272,63.22469,6.279519,30.33762,rice
83,44,37,27.24775592,73.45823,6.016247,27.24776,rice
87,41,50,33.33853657,72.94166,6.494871,33.33854,rice
95,36,50,32.39835495,63.82747,5.809396,32.39835,rice
92,32,41,34.75809211,75.03401,6.207728,34.75809,rice
94,41,56,30.92881126,64.04048,5.869736,30.92881,rice
97,40,55,25.41635801,70.43675,6.329589,25.41636,rice
93,39,55,28.36075416,67.87632,6.19294,28.36075,rice
63,36,33,33.69384668,76.45118,6.300017,33.69385,rice
70,44,56,33.06190328,73.72233,6.356794,33.0619,rice
72,37,60,30.01523711,66.28923,5.729499,30.01524,rice
62,32,36,33.08610273,68.93928,5.702354,33.0861,rice
61,39,43,34.42916213,74.16206,5.586258,34.42916,rice
84,31,54,29.64216714,73.5984,5.755874,29.64217,rice
67,45,35,32.52380086,67.16146,5.660266,32.5238,rice
63,33,34,32.34636105,63.34561,6.101304,32.34636,rice
85,45,36,27.56996102,71.8302,6.328641,27.56996,rice
65,46,40,27.79770344,70.52264,6.382899,27.7977,rice
86,31,60,26.31835417,63.1153,5.886742,26.31835,rice
86,41,34,33.82087739,74.46559,5.797157,33.82088,rice
90,42,38,26.04655969,74.83513,5.904705,26.04656,rice
74,41,50,34.89422297,67.91689,5.752142,34.89422,rice
63,39,41,27.94611821,77.4471,6.498315,27.94612,rice
84,36,52,28.87627799,74.96749,5.6444,28.87628,rice
97,39,57,27.46111731,77.16031,5.618853,27.46112,rice
68,39,43,29.58522248,63.13402,6.083159,29.58522,rice
91,39,44,34.73382124,63.27376,5.997578,34.73382,rice
78,39,39,25.17805242,72.7284,5.534425,25.17805,rice
87,44,43,29.56127174,70.3547,6.085099,29.56127,rice
64,42,38,28.34192506,74.27338,5.597077,28.34193,rice
62,34,33,29.04050379,63.41014,6.165088,29.0405,rice
72,39,37,33.32924206,69.67881,6.358836,33.32924,rice
79,32,48,30.87880609,74.53381,5.706436,30.87881,rice
75,44,36,30.44096066,72.22221,6.201908,30.44096,rice
80,42,59,31.70296358,67.90047,6.212939,31.70296,rice
67,44,42,32.78935165,64.93558,6.355669,32.78935,rice
77,31,35,34.13658754,67.04338,6.309413,34.13659,rice
92,45,32,31.87269558,73.88421,5.634664,31.8727,rice
83,37,60,25.45594275,67.52492,5.821203,25.45594,rice
83,39,39,28.73386917,72.98678,5.770488,28.73387,rice
71,40,53,33.24629744,72.64476,5.550419,33.2463,rice
72,32,60,26.85492897,66.48021,6.32988,26.85493,rice
77,38,41,31.26818058,77.57403,6.204785,31.26818,rice
84,32,34,31.05717978,76.49341,5.86308,31.05718,rice
77,41,58,34.34802714,64.19212,6.260581,34.34803,rice
96,35,30,29.51417165,65.9174,5.881152,29.51417,rice
64,35,50,30.48783449,76.99732,5.978608,30.48783,rice
97,45,34,34.25698821,76.41124,6.492492,34.25699,rice
64,33,37,34.10444582,72.3566,6.335474,34.10445,rice
65,40,41,26.81985097,76.86991,5.876464,26.81985,rice
62,43,36,27.50692619,67.12504,6.325941,27.50693,rice
74,40,49,30.40272647,73.491,6.09324,30.40273,rice
84,41,43,27.39849009,70.85456,6.454139,27.39849,rice
74,45,57,30.91976585,69.19561,5.736881,30.91977,rice
80,36,37,28.22071547,68.47545,5.610781,28.22072,rice
78,33,54,28.43708152,73.87478,6.038468,28.43708,rice
73,36,35,30.00482842,71.586,5.933244,30.00483,rice
70,45,58,28.69222253,75.58637,6.34557,28.69222,rice
83,39,45,32.1399012,76.05493,6.28541,32.1399,rice
72,45,44,34.04592866,63.18767,6.24628,34.04593,rice
65,41,44,27.73687855,74.44255,5.505927,27.73688,rice
70,36,43,30.43235469,72.56252,6.072717,30.43235,rice
60,38,30,26.34576393,69.68462,5.871899,26.34576,rice
90,36,45,25.38802085,66.13156,6.092776,25.38802,rice
92,37,49,31.51262387,77.64222,5.633282,31.51262,rice
67,32,51,32.81783455,76.9217,5.665772,32.81783,rice
60,39,39,33.55606841,76.8027,6.175363,33.55607,rice
80,38,41,33.61690976,69.7705,6.330271,33.61691,rice
91,36,44,32.6200027,72.60463,6.475897,32.62,rice
84,45,54,29.07902495,72.00321,6.492462,29.07902,rice
93,41,35,28.7477515,75.99467,5.579967,28.74775,rice
82,46,35,26.36715533,72.82872,5.838225,26.36716,rice
93,37,48,27.9199396,66.04434,6.021073,27.91994,rice
96,46,51,27.16019245,65.13773,6.296409,27.16019,rice
95,40,57,30.56938316,68.7161,6.263679,30.56938,rice
92,40,52,30.09173669,76.41749,5.917038,30.09174,rice
73,44,53,27.83175592,70.80345,6.355168,27.83176,rice
86,35,33,32.55175367,72.33253,5.964886,32.55175,rice
96,33,50,27.76086706,67.20218,6.104292,27.76087,rice
75,44,54,28.20084681,76.25135,5.56072,28.20085,rice
64,37,45,32.82762247,71.37844,5.748993,32.82762,rice
81,35,45,31.24670834,69.61507,5.565591,31.24671,rice
75,32,45,27.63293458,65.56647,6.292384,27.63293,rice
78,44,42,30.41464269,69.28069,6.346867,30.41464,rice
94,33,47,25.9501177,71.09248,6.311378,25.95012,rice
96,34,30,34.03464199,63.58437,6.385459,34.03464,rice
69,36,44,30.75873291,77.14239,6.209774,30.75873,rice
79,39,50,25.23983545,66.25732,6.463934,25.23984,rice
61,38,60,25.91002846,65.94643,6.126328,25.91003,rice
82,31,60,29.75288666,64.72904,5.966034,29.75289,rice
67,38,41,26.37908214,75.08275,5.884731,26.37908,rice
90,31,45,29.45646114,68.69627,5.95436,29.45646,rice
69,31,39,30.48453167,65.8535,5.593156,30.48453,rice
65,41,34,28.0089571,67.48229,6.485932,28.00896,rice
86,31,34,31.8337708,70.23281,5.884292,31.83377,rice
88,33,38,33.23641509,71.56862,5.628983,33.23642,rice
73,46,46,31.5283879,68.24743,6.125642,31.52839,rice
94,34,40,28.40570989,68.90971,6.278336,28.40571,rice
76,36,51,34.37441147,64.48376,5.635068,34.37441,rice
86,37,47,28.07811012,68.88312,6.371321,28.07811,rice
84,39,45,33.69673019,64.64675,5.518556,33.69673,rice
85,32,39,30.70344318,67.62529,5.892459,30.70344,rice
73,32,44,28.65039896,77.41085,6.170803,28.6504,rice
92,33,43,29.44042769,72.82583,6.309582,29.44043,rice
87,46,49,28.68095763,68.48391,6.375602,28.68096,rice
78,40,38,28.57857888,76.81435,5.922204,28.57858,rice
69,37,58,31.02532859,64.07722,6.208751,31.02533,rice
69,45,36,25.91820295,73.59064,6.150246,25.9182,rice
69,41,43,31.30873396,70.99514,6.306057,31.30873,rice
82,31,52,25.20345888,64.786,5.836869,25.20346,rice
96,39,60,32.38152092,66.34967,5.910514,32.38152,rice
91,37,40,32.43428079,69.18615,6.011745,32.43428,rice
84,38,37,28.02411874,71.79757,5.848275,28.02412,rice
79,42,31,33.37071699,76.50351,6.337336,33.37072,rice
90,46,35,29.25080584,75.86156,5.7843,29.25081,rice
92,37,38,32.21169791,68.69993,6.474194,32.2117,rice
80,41,34,27.11152907,77.87861,5.670015,27.11153,rice
70,39,35,28.85063744,72.28382,6.408376,28.85064,rice
89,44,31,32.47990208,67.84457,5.95163,32.4799,rice
95,37,38,29.15091095,67.15956,6.433731,29.15091,rice
76,34,57,32.96923263,77.86729,5.933548,32.96923,rice
81,37,56,30.88434824,70.50023,6.211877,30.88435,rice
75,46,35,26.8961362,67.69086,5.634787,26.89614,rice
80,37,51,26.7486561,72.29528,6.431624,26.74866,rice
95,44,32,26.3547187,68.14242,6.057638,26.35472,rice
92,35,31,26.01798008,65.9578,6.174797,26.01798,rice
81,33,46,28.33629681,77.59254,6.439719,28.3363,rice
69,45,40,28.35647221,63.37171,6.353942,28.35647,rice
90,46,58,30.58540985,75.76505,6.200578,30.58541,rice
79,45,47,30.86262877,73.97312,6.16144,30.86263,rice
70,32,33,32.90854631,65.96603,5.707939,32.90855,rice
91,34,34,32.84611449,72.65538,5.61654,32.84611,rice
